;Ambos sexos;;Mujeres;;Hombres;
;Euros;Tasa de variación anual;Euros;Tasa de variación anual;Euros;Tasa de variación anual
TOTAL;28.049,94;4,1;25.591,31;5,1;30.372,49;3,4
Andalucía;25.051,51;4,2;22.714,95;4,9;27.085,50;3,5
Aragón;26.822,32;3,1;23.925,28;3,4;29.589,45;2,8
Asturias, Principado de;27.916,60;4,4;24.808,62;4,3;31.033,72;4,9
Balears, Illes;27.537,00;1,4;26.260,90;0,8;28.754,20;2,1
Canarias;24.033,57;4,1;23.439,06;3,8;24.604,44;4,3
Cantabria;26.568,70;5,1;23.727,01;5,2;29.145,64;4,8
Castilla y León;25.227,03;4,3;23.104,30;6,1;27.360,49;3,1
Castilla-La Mancha;24.885,63;4,8;22.608,19;6,1;26.766,25;3,7
Cataluña;29.978,69;4,2;27.240,93;6,2;32.721,58;2,6
Comunitat Valenciana;25.632,37;4,6;23.205,68;4,8;27.933,36;4,7
Extremadura;23.684,22;8,0;22.181,88;7,5;25.179,79;8,7
Galicia;25.279,15;4,6;23.153,78;5,7;27.479,85;3,2
Madrid, Comunidad de;32.219,60;3,2;29.250,20;4,0;35.052,21;2,8
Murcia, Región de;25.329,87;6,2;22.474,77;7,2;27.799,19;5,9
Navarra, Comunidad Foral de;31.199,66;6,9;27.461,86;5,5;34.623,18;8,3
País Vasco;33.504,92;3,7;31.038,84;5,9;35.600,45;1,4
Rioja, La;26.319,06;5,7;24.307,34;9,2;28.482,01;2,7
